dataset_case,method,noise,seed,accuracy,neighbor_overlap,embed_time_sec,pipeline_time_sec,ambient_dim,embed_dim,accuracy_pct,neighbor_overlap_pct,embed_time_ms,pipeline_time_ms
holes,gaussian_rp,0.2,2,0.78,0.29816666666666664,0.00029712499963352457,0.00997829100015224,30,2,78.0,29.816666666666663,0.29712499963352457,9.97829100015224
holes,gaussian_rp,0.35,0,0.8633333333333333,0.37516666666666665,0.0002949999998236308,0.010085166999488138,30,2,86.33333333333333,37.516666666666666,0.2949999998236308,10.085166999488138
holes,gaussian_rp,0.35,1,0.8233333333333334,0.42866666666666675,0.0003324170011183014,0.010431040998810204,30,2,82.33333333333334,42.866666666666674,0.3324170011183014,10.431040998810204
holes,gaussian_rp,0.35,2,0.7466666666666667,0.29991666666666666,0.00030537500060745515,0.010166167001443682,30,2,74.66666666666667,29.991666666666667,0.30537500060745515,10.166167001443682
holes,sparse_rp,0.0,0,0.9366666666666666,0.4866666666666667,0.00043316700066498015,0.010243333999824245,30,2,93.66666666666667,48.66666666666667,0.43316700066498015,10.243333999824245
holes,sparse_rp,0.0,1,0.9366666666666666,0.47308333333333336,0.00043891700079257134,0.010236416999759967,30,2,93.66666666666667,47.30833333333334,0.43891700079257134,10.236416999759967
holes,sparse_rp,0.0,2,0.9733333333333334,0.4290833333333333,0.0004379170004540356,0.010410917000626796,30,2,97.33333333333334,42.90833333333333,0.4379170004540356,10.410917000626796
holes,sparse_rp,0.1,0,0.9366666666666666,0.46966666666666657,0.0005341670002962928,0.010475334000147996,30,2,93.66666666666667,46.966666666666654,0.5341670002962928,10.475334000147996
holes,sparse_rp,0.1,1,0.93,0.4660833333333333,0.0005319160009094048,0.010600083000099403,30,2,93.0,46.60833333333333,0.5319160009094048,10.600083000099403
holes,sparse_rp,0.1,2,0.97,0.4086666666666666,0.0006793329994252417,0.011304792000373709,30,2,97.0,40.86666666666666,0.6793329994252417,11.304792000373709
holes,sparse_rp,0.2,0,0.9433333333333334,0.4421666666666667,0.0004897920007351786,0.010259374999805004,30,2,94.33333333333334,44.21666666666667,0.4897920007351786,10.259374999805004
holes,sparse_rp,0.2,1,0.93,0.4455,0.0005167090002942132,0.010440207999636186,30,2,93.0,44.55,0.5167090002942132,10.440207999636186
holes,sparse_rp,0.2,2,0.9666666666666667,0.37975,0.0004558750006253831,0.010179041999435867,30,2,96.66666666666667,37.974999999999994,0.4558750006253831,10.179041999435867
