dataset_case,method,noise,accuracy_mean,accuracy_std,neighbor_overlap_mean,neighbor_overlap_std,embed_time_mean,embed_time_std,pipeline_time_mean,pipeline_time_std
two_manifold,gaussian_rp,0.1,0.6033333333333334,0.11357816691600546,0.2768333333333333,0.06993156376852382,0.000307472333588521,2.1241948308503523e-05,0.010129083332988861,5.685580066240417e-05
two_manifold,gaussian_rp,0.2,0.5955555555555555,0.12357334004699544,0.2717222222222222,0.0665855930641434,0.00030724999972638517,1.569468597638464e-05,0.010048069332697196,0.00022569847486324864
two_manifold,gaussian_rp,0.35,0.5844444444444444,0.1251369620026764,0.26661111111111113,0.058080423966670104,0.0002975003329387012,4.502607279377468e-06,0.010026319333822661,7.617504136517746e-05
two_manifold,sparse_rp,0.0,0.7744444444444444,0.03355481971231455,0.3363055555555556,0.03168928285948027,0.0004630556674480128,3.770329532665962e-05,0.01038261100075033,5.9776543908497544e-05
two_manifold,sparse_rp,0.1,0.7722222222222221,0.04350393766767083,0.33325,0.029483870355011217,0.0004879579998184151,4.889160239826594e-05,0.010347166666785293,9.770524037618585e-05
two_manifold,sparse_rp,0.2,0.7633333333333333,0.033829638550307455,0.32269444444444445,0.0271983880922163,0.0004646386672296406,3.709299789091796e-05,0.010386347000652071,0.0001842054356700272
two_manifold,sparse_rp,0.35,0.7511111111111112,0.04550132273209619,0.3073333333333333,0.023387288807764313,0.0004526526675666294,3.913543929462521e-05,0.010393680667524071,0.00016155722079439795
two_manifold,isomap,0.0,0.8433333333333333,0.02185812841434005,0.2881666666666667,0.06227163836325849,0.14445220833295025,0.004399704011289243,0.40051612499943684,0.007306968695234812
two_manifold,isomap,0.1,0.84,0.021858128414339973,0.28788888888888886,0.058505064674715036,0.1440994856669325,0.0032332347954704185,0.3994035553332651,0.0009243325614631026
two_manifold,isomap,0.2,0.8377777777777778,0.017105338131489588,0.2850277777777778,0.05011800888717362,0.14642084700002064,0.007682636922835967,0.3996286386676123,0.008725191333147062
